INFO:2022-08-24 20:37:44,250:basehttp:log_message:187:"GET /static/admin/js/filters.js HTTP/1.1" 200 966
INFO:2022-08-24 20:37:44,266:basehttp:log_message:187:"GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO:2022-08-24 20:37:49,513:basehttp:log_message:187:"POST /admin/teacher/teacher/ HTTP/1.1" 200 6015
INFO:2022-08-24 20:37:49,537:basehttp:log_message:187:"GET /static/admin/js/cancel.js HTTP/1.1" 200 884
INFO:2022-08-24 20:37:50,888:basehttp:log_message:187:"POST /admin/teacher/teacher/ HTTP/1.1" 302 0
INFO:2022-08-24 20:37:50,914:basehttp:log_message:187:"GET /admin/teacher/teacher/ HTTP/1.1" 200 6095
INFO:2022-08-24 20:37:50,930:basehttp:log_message:187:"GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO:2022-08-24 20:37:50,956:basehttp:log_message:187:"GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO:2022-08-24 20:37:57,423:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:37:57,428:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 2
INFO:2022-08-24 20:38:28,053:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:38:28,067:basehttp:log_message:187:"POST /teacher/ HTTP/1.1" 201 336
INFO:2022-08-24 20:38:28,234:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:38:28,242:basehttp:log_message:187:"GET /teacher/9/ HTTP/1.1" 200 336
INFO:2022-08-24 20:38:44,737:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:38:44,747:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 338
INFO:2022-08-24 20:38:50,001:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
WARNING:2022-08-24 20:38:50,009:log:log_response:241:Not Found: /teacher/5/
WARNING:2022-08-24 20:38:50,009:basehttp:log_message:187:"GET /teacher/5/ HTTP/1.1" 404 23
INFO:2022-08-24 20:38:54,554:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:38:54,567:basehttp:log_message:187:"GET /teacher/9/ HTTP/1.1" 200 336
INFO:2022-08-24 20:39:03,500:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:39:03,508:basehttp:log_message:187:"GET /teacher/9/ HTTP/1.1" 200 336
INFO:2022-08-24 20:39:08,145:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:39:08,161:basehttp:log_message:187:"DELETE /teacher/9/ HTTP/1.1" 204 0
INFO:2022-08-24 20:39:08,365:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:39:08,367:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 2
INFO:2022-08-24 20:50:23,290:autoreload:run_with_reloader:677:Watching for file changes with StatReloader
